,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom,Australia,Japan,Korea,New Zealand,Canada,United States of America,Mexico,OECD mean
1961,51.5,49.7,41.5,40.5,43.8,44.5,49.5,31.6,46.1,48.7,31.7,61.5,31,28.4,42.4,45.3,58.9,48.2,30.1,39.8,42.5,25.9,27.8,41.2,43.4,42.9
1962,50.9,49.4,40.6,41.4,42.6,44.6,49.4,32.8,46.3,48.8,31.2,59.4,31.8,28.7,41.9,46.6,57,47.4,29.6,39.9,44.7,26.4,26.9,40.4,43.8,42.6
1963,50.2,48.2,39.6,42.2,41.7,43.9,48.7,32.6,45.9,48.4,29.9,57,32,29.5,41.8,47.5,58,45.6,28.8,40.7,45.2,26.8,26.7,39.4,44.5,42.1
1964,49.9,47,38,42.1,41.7,43.9,47.3,31.7,44.5,47.6,27.8,55.4,31.4,30.9,42.8,46.4,60.1,44.3,28.9,40.5,45.1,27,28.5,38.4,45.8,41.8
1965,48.9,46.6,37,42.1,41.2,43.8,46.8,32.4,43.5,47.4,26.1,54.6,30.1,32.6,42.8,45.6,57.3,42.9,28.9,39.8,43.9,27.2,29.2,36.8,46.2,41
1966,48.3,46.2,36.8,43.1,40.9,43.5,47.4,34.2,43.7,46.2,25.3,54.3,29.5,33.3,42.6,45.8,54.3,42.6,28.7,40.9,45.6,27.8,29.7,36.3,47.4,41
1967,47.4,45,35.9,43.1,40,43.1,48,35.1,43.4,45.7,24.5,53.8,29.2,34.4,42.5,45.3,53.5,42.5,28.8,41.5,44.9,28.3,30,34.8,49.4,40.6
1968,46.9,43.9,34,43.1,39.3,42.5,48,33.3,42.1,45.1,23.1,51.7,28.9,36,42.3,45.5,52.4,41.4,27.9,39.6,42.7,28.8,29.9,33.1,51.7,39.7
1969,45.7,42.7,32.2,43.1,38.6,40.8,46.8,30.2,41.6,44,21.8,48.1,27.2,36.8,41.7,44.6,49.8,40.2,27.5,36,41.2,29.7,30.4,32.3,50.6,38.3
1970,44.3,41.4,31.5,43.1,38,38.5,45.4,29.4,40.8,43,21.7,45.5,24.6,38.6,41.9,41.7,47.3,39.4,28.4,34.1,38,30.1,31.8,32,49.4,37.3
1971,43,40.4,31,43.1,36.8,37.2,44.5,31.2,39.7,42.5,22,45.1,23.6,40.6,40.9,41.2,46.5,39.3,29.2,34.8,37.7,30.8,32.9,30.7,48.9,36.7
1972,42,39.2,30,43.1,35.9,36.6,43.3,33,39.3,41.8,21.7,45.2,24.4,41.9,41,44.3,45.6,39.2,28.7,34.8,36.6,30.7,33.1,29.8,50.1,36.3
1973,41.6,38.6,29.6,43.1,36.2,36.4,42.2,33,40.4,42.4,21.2,46.1,25.4,43.2,40.7,46.7,44.9,39.8,26.8,31.5,38.4,30.3,32.9,29.8,50.4,36.1
1974,41.7,38.8,30.3,43.1,36.8,36.5,41.9,32.2,40.4,42.5,22.1,47,25.6,43.1,40.7,43.8,46.5,40.1,25.5,35,38.4,30.4,32.3,29.6,50.3,36.5
1975,42.6,40,30.8,43.1,37.7,37,42,31.9,40.1,43,24.1,47.3,24.8,42.4,40.8,40.7,48.7,40.7,25.8,39,38.4,30.7,31.5,30.2,50.5,37.4
1976,42.3,39.9,29.6,43.1,37.4,37.2,42.3,32.2,38.1,42.5,24.8,46,25.1,43.4,41.8,40.8,49.2,40.7,26.9,37.4,40.3,31.6,31.1,30.5,52.1,37.5
1977,41.9,39.3,29.8,43.1,36.8,37,42.7,30.7,38,42.1,24.5,45.2,27,44.3,43.2,44,47.8,41,27.8,37.4,41.1,32.4,31.4,30.6,52.1,37.6
1978,42.3,38.8,29.8,43.1,36.1,36.6,42.7,29.4,38.1,41.4,24.1,45.1,27.7,45.1,43.9,47.2,46.3,40.8,27.6,37.3,41.5,33.7,31.8,28.9,53.2,37.2
1979,42.2,38.7,29.5,43.1,35.4,36.3,42.2,28,37.2,40.4,24.6,45.5,27.2,46.4,43.8,46.3,45.5,40.5,28.3,37.5,42.5,34.2,32,29.2,53.7,37.3
1980,41.9,39.2,30.4,43.1,35.7,36.4,41.8,26.8,37.4,40.7,26.3,46.5,26.4,47.1,44.4,44.4,45.7,41.7,29.9,38.6,41.8,34.1,32.7,29.9,52.6,37.7
1981,43,39.5,31.1,43.1,37.7,36.8,42.3,28,38.2,42.6,28.3,48.8,25.7,47,46,44.7,46.7,43.1,31.4,44.2,41.4,34.1,34,31.2,55.3,39.6
1982,43.7,39.5,31.3,43.1,39.5,37.5,43.2,30.2,38.8,43.8,29.6,50.4,26.4,47.8,47.2,46.4,47.6,43.4,33.9,44.8,40.2,34,34.3,32,58,40.5
1983,43.9,39.8,31.4,43.1,40.2,37.6,44.4,33.3,39.3,43.5,30.1,51,27.8,49,47.3,49.3,47.3,43.5,34.8,43.9,41.7,34.4,35.6,31.8,55.5,40.4
1984,44.5,40,31,43.1,40.7,37.3,44.2,33.2,39.9,43.8,29.5,49.9,30.2,48.4,48.1,50.8,46.8,43.8,36.3,43,42.1,35.3,35.8,30.4,54,40
1985,44.6,39.8,30.4,43.1,40.6,37.3,42.9,31.9,40.1,43.7,29.1,47.7,32.6,49.2,48.9,50.7,46.6,43.3,38.7,43,43.2,35.8,35.4,29.5,54.8,39.8
1986,45.2,39.6,30.4,43.1,40.1,37.7,42.1,30.3,39.6,43.1,29.4,46.3,32.1,48.5,48,49.7,46.2,42.6,39.6,42.9,49.9,36.9,35.1,29.2,54.2,39.9
1987,45.5,39.5,30.9,43.1,39.6,38.1,40.8,29.5,39,42.7,29.5,46,28.6,48.2,46.8,49.1,45.5,41.9,38.7,42,55.2,37.2,36.4,29.3,54.3,39.9
1988,45.6,39.4,31.2,43.1,39.6,38.3,39.8,29.3,39.2,42.8,28.7,46.3,24.9,46.9,45.8,48.5,44.6,41.2,36,40.1,53.2,37.3,34.6,29.7,53.4,39.3
1989,45.3,39.6,31.7,43.1,39.8,38.8,40.7,31.7,38.8,43,27.9,47,25,44.9,44.9,48.3,44.2,41,34.3,39.3,46.6,36.8,30,29.9,52.9,38.8
1990,44.2,39.7,32.4,43.1,39.7,39.2,40.5,32.9,38.7,42.6,27.6,47.1,30.6,43.3,43.9,49.9,44.6,41.1,34.8,38.2,47.8,36.5,32.5,30.1,53.9,38.9
1991,43.6,39.6,33.4,43.1,39.5,39.9,38.7,35.3,40.1,42.4,28,46.6,36.6,42.7,43.3,51.6,46,41.3,35.4,39,51,36.4,43.6,30.7,52.6,39.6
1992,45.1,39.8,34.9,43.1,40.3,41.2,38.5,35.9,42.9,43.1,28.6,47,37.8,42.5,43.1,52.6,48.1,42.2,34.7,40.2,50.3,35.4,51.7,31.1,54.1,40.5
1993,46.1,39.6,35.1,43.1,41.3,41.7,38.6,37.3,43.8,44.1,28.8,47.9,36,42.3,42.9,52.2,49,43.1,34.1,40.6,49.3,35.6,52,30.5,54.8,40.7
1994,45.2,38.9,34,43.1,41.1,41.5,38.1,40.3,43.4,44.3,30.3,47.3,35,41.8,42.7,50.3,48.4,43.6,33,40.3,50.3,36.1,48.7,30.2,56.4,40.5
1995,43.3,38.3,32.6,43.1,40.5,41.4,37.2,42.5,41.6,44.4,32.5,46,35.3,41.3,42,49.4,47.7,43.2,32.5,39.5,52.1,35.9,41.8,30.5,50.8,39.7
1996,41.7,37.4,32.8,43.1,40.5,40.7,37.3,43,40.1,44.6,33.6,48.4,33.8,40.7,42,51.4,47.9,42.9,34.3,39.3,52,35.6,38.7,30.1,47.9,39.1
1997,41.6,36.7,35.1,43.1,40.2,40.8,37.1,42.4,39.5,43.8,34.4,51,32.9,39.9,40.8,53.4,48.6,42.9,35.8,40.3,51.9,34,39,29.3,44.3,38.7
1998,42.5,38.3,36.7,43.1,39.8,41.8,36.7,41.6,38.5,42.9,30.2,47.5,33.4,38.5,39.6,54,48.5,42.4,35.6,41.6,40.7,32.9,38.9,29.1,43.8,38.1
1999,43.1,41.4,36,43.1,40.5,43.2,36.5,39.8,37.7,42.7,23.9,44.2,37.6,37.8,39.4,54.7,48.3,42.2,35.3,41.8,44.1,33,37.9,29.3,41.4,38.1
2000,43.6,43,35.9,43.1,40.9,43.4,35,40.4,37.8,43.2,22.6,45.1,41,38.1,39.8,55.5,49,42.3,34.7,39.7,43.2,33.5,38.2,29.1,42.5,38
2001,43.6,42.8,36.6,43.1,41,43.4,33.6,39,38.2,43.5,23.9,47,41.4,38.5,39.9,55.5,49.6,42,35.7,43.1,42.3,33.2,39.5,29.5,49,39.2
2002,43.3,42.3,36.7,43.1,41.3,43,34.9,37.9,39.2,43.3,23.1,47.8,41.8,38.5,39.3,54.2,50.6,42.1,37.2,44.1,43.1,33.2,39.2,30.3,50.6,39.7
2003,42.7,42.8,36.7,43.1,42,43.2,35.8,38.1,40.4,42.1,22,48.1,41.1,38.9,39.1,54.4,51,42.8,37.3,44.6,41.1,34.5,37.4,30.5,57.3,40.4
2004,43.3,43.4,36.9,43.1,42.7,44.5,35.4,40.8,40.1,42.5,23,49.4,39.5,39.8,39.6,54.4,50.8,42.9,37.2,44.3,41.6,35.8,36.5,29.5,61.3,40.7
2005,43.8,44.2,36.5,43.1,43.1,46.5,35.6,40.3,40.1,42.7,24.8,50.6,38.7,40.3,40.5,51.3,50.6,43,36.5,43.6,42.1,35.9,36.3,28.8,56.7,40.2
